Latitude,Longitude,ID,Time,Locust,Soil_Moisture,Elevation,Soil_Temperature,Vegetation_Index
-1,-1,22258,2020-06-30,0,-1,-1,-1,-1
-1,-1,22259,2020-06-30,0,-1,-1,-1,-1
-1,-1,22260,2020-06-30,0,-1,-1,-1,-1
-1,-1,22261,2020-06-30,0,-1,-1,-1,-1
-1,-1,22262,2020-06-30,0,-1,-1,-1,-1
-1,-1,22263,2020-06-30,0,-1,-1,-1,-1
-1,-1,22264,2020-06-30,0,-1,-1,-1,-1
-1,-1,22265,2020-06-30,0,-1,-1,-1,-1
-1,-1,22266,2020-06-30,0,-1,-1,-1,-1
-1,-1,22267,2020-06-30,0,-1,-1,-1,-1
-1,-1,22268,2020-06-30,0,-1,-1,-1,-1
-1,-1,22269,2020-06-30,0,-1,-1,-1,-1
-1,-1,22270,2020-06-30,0,-1,-1,-1,-1
-1,-1,22271,2020-06-30,0,-1,-1,-1,-1
-1,-1,22272,2020-06-30,0,-1,-1,-1,-1
-1,-1,22273,2020-06-30,0,-1,-1,-1,-1
-1,-1,22274,2020-06-30,0,-1,-1,-1,-1
-1,-1,22275,2020-06-30,0,-1,-1,-1,-1
-1,-1,22276,2020-06-30,0,-1,-1,-1,-1
-1,-1,22277,2020-06-30,0,-1,-1,-1,-1
-1,-1,22278,2020-06-30,0,-1,-1,-1,-1
-1,-1,22279,2020-06-30,0,-1,-1,-1,-1
-1,-1,22280,2020-06-30,0,-1,-1,-1,-1
-1,-1,22281,2020-06-30,0,-1,-1,-1,-1
-1,-1,22282,2020-06-30,0,-1,-1,-1,-1
-1,-1,22283,2020-06-30,0,-1,-1,-1,-1
-1,-1,22284,2020-06-30,0,-1,-1,-1,-1
-1,-1,22285,2020-06-30,0,-1,-1,-1,-1
-1,-1,22286,2020-06-30,0,-1,-1,-1,-1
-1,-1,22287,2020-06-30,0,-1,-1,-1,-1
-1,-1,22288,2020-06-30,0,-1,-1,-1,-1
-1,-1,22289,2020-06-30,0,-1,-1,-1,-1
-1,-1,22290,2020-06-30,0,-1,-1,-1,-1
-1,-1,22291,2020-06-30,0,-1,-1,-1,-1
-1,-1,22292,2020-06-30,0,-1,-1,-1,-1
-1,-1,22293,2020-06-30,0,-1,-1,-1,-1
-1,-1,22294,2020-06-30,0,-1,-1,-1,-1
-1,-1,22295,2020-06-30,0,-1,-1,-1,-1
-1,-1,22296,2020-06-30,0,-1,-1,-1,-1
-1,-1,22297,2020-06-30,0,-1,-1,-1,-1
-1,-1,22298,2020-06-30,0,-1,-1,-1,-1
-1,-1,22299,2020-06-30,0,-1,-1,-1,-1
-1,-1,22300,2020-06-30,0,-1,-1,-1,-1
-1,-1,22301,2020-06-30,0,-1,-1,-1,-1
-1,-1,22302,2020-06-30,0,-1,-1,-1,-1
-1,-1,22303,2020-06-30,0,-1,-1,-1,-1
-1,-1,22304,2020-06-30,0,-1,-1,-1,-1
-1,-1,22305,2020-06-30,0,-1,-1,-1,-1
-1,-1,22306,2020-06-30,0,-1,-1,-1,-1
-1,-1,22307,2020-06-30,0,-1,-1,-1,-1
-1,-1,22308,2020-06-30,0,-1,-1,-1,-1
-1,-1,22309,2020-06-30,0,-1,-1,-1,-1
-1,-1,22310,2020-06-30,0,-1,-1,-1,-1
-1,-1,22311,2020-06-30,0,-1,-1,-1,-1
-1,-1,22312,2020-06-30,0,-1,-1,-1,-1
-1,-1,22313,2020-06-30,0,-1,-1,-1,-1
-1,-1,22314,2020-06-30,0,-1,-1,-1,-1
-1,-1,22315,2020-06-30,0,-1,-1,-1,-1
-1,-1,22316,2020-06-30,0,-1,-1,-1,-1
-1,-1,22317,2020-06-30,0,-1,-1,-1,-1
-1,-1,22318,2020-06-30,0,-1,-1,-1,-1
-1,-1,22319,2020-06-30,0,-1,-1,-1,-1
-1,-1,22320,2020-06-30,0,-1,-1,-1,-1
-1,-1,22321,2020-06-30,0,-1,-1,-1,-1
-1,-1,22322,2020-06-30,0,-1,-1,-1,-1
-1,-1,22323,2020-06-30,0,-1,-1,-1,-1
-1,-1,22324,2020-06-30,0,-1,-1,-1,-1
-1,-1,22325,2020-06-30,0,-1,-1,-1,-1
-1,-1,22326,2020-06-30,0,-1,-1,-1,-1
-1,-1,22327,2020-06-30,0,-1,-1,-1,-1
-1,-1,22328,2020-06-30,0,-1,-1,-1,-1
-1,-1,22329,2020-06-30,0,-1,-1,-1,-1
-1,-1,22330,2020-06-30,0,-1,-1,-1,-1
-1,-1,22331,2020-06-30,0,-1,-1,-1,-1
-1,-1,22332,2020-06-30,0,-1,-1,-1,-1
-1,-1,22333,2020-06-30,0,-1,-1,-1,-1
-1,-1,22334,2020-06-30,0,-1,-1,-1,-1
-1,-1,22335,2020-06-30,0,-1,-1,-1,-1
-1,-1,22336,2020-06-30,0,-1,-1,-1,-1
-1,-1,22337,2020-06-30,0,-1,-1,-1,-1
-1,-1,22338,2020-06-30,0,-1,-1,-1,-1
-1,-1,22339,2020-06-30,0,-1,-1,-1,-1
-1,-1,22340,2020-06-30,0,-1,-1,-1,-1
-1,-1,22341,2020-06-30,0,-1,-1,-1,-1
-1,-1,22342,2020-06-30,0,-1,-1,-1,-1
-1,-1,22343,2020-06-30,0,-1,-1,-1,-1
-1,-1,22344,2020-06-30,0,-1,-1,-1,-1
-1,-1,22345,2020-06-30,0,-1,-1,-1,-1
-1,-1,22346,2020-06-30,0,-1,-1,-1,-1
-1,-1,22347,2020-06-30,0,-1,-1,-1,-1
-1,-1,22348,2020-06-30,0,-1,-1,-1,-1
-1,-1,22349,2020-06-30,0,-1,-1,-1,-1
-1,-1,22350,2020-06-30,0,-1,-1,-1,-1
-1,-1,22351,2020-06-30,0,-1,-1,-1,-1
-1,-1,22352,2020-06-30,0,-1,-1,-1,-1
-1,-1,22353,2020-06-30,0,-1,-1,-1,-1
-1,-1,22354,2020-06-30,0,-1,-1,-1,-1
-1,-1,22355,2020-06-30,0,-1,-1,-1,-1
-1,-1,22356,2020-06-30,0,-1,-1,-1,-1
-1,-1,22357,2020-06-30,0,-1,-1,-1,-1
-1,-1,22358,2020-06-30,0,-1,-1,-1,-1
-1,-1,22359,2020-06-30,0,-1,-1,-1,-1
-1,-1,22360,2020-06-30,0,-1,-1,-1,-1
-1,-1,22361,2020-06-30,0,-1,-1,-1,-1
-1,-1,22362,2020-06-30,0,-1,-1,-1,-1
-1,-1,22363,2020-06-30,0,-1,-1,-1,-1
-1,-1,22364,2020-06-30,0,-1,-1,-1,-1
-1,-1,22365,2020-06-30,0,-1,-1,-1,-1
-1,-1,22366,2020-06-30,0,-1,-1,-1,-1
-1,-1,22367,2020-06-30,0,-1,-1,-1,-1
-1,-1,22368,2020-06-30,0,-1,-1,-1,-1
